Created At: 2026-07-13T01:55:48Z
Completed At: 2026-07-13T01:55:48Z
File Path: `file:///c:/Users/user/OneDrive/Escritorio/Evaluaci%C3%B3n%20por%20competencias/src/hooks/useSupabaseData.ts`
Total Lines: 460
Total Bytes: 25967
Showing lines 111 to 250
The following code has been modified to include a line number before every line, in the format: <line_number>: <original_line>. Please note that any changes targeting the original code should remove the line number, colon, and leading space.
111:                     };
112:                 });
113: 
114:                 const optimisticPosts = prev.posts.filter(p => 
115:                     p.isOptimistic && !mappedPosts.some(mp => mp.id === p.id)
116:                 );
117: 
118:                 return {
119:                 instituto: currentProfile?.instituto || currentProfile?.institucion || 'Mi Instituto',
120:                 perfilBio: currentProfile?.bio || '',
121:                 perfilAvatarUrl: currentProfile?.avatar_url || '',
122:                 nombreDocente: currentProfile?.nombre_docente || '',
123:                 tipoInstitucion: currentProfile?.tipo_institucion as 'publica' | 'privada' || undefined,
124:                 perfilAvatarColor: currentProfile?.avatar_color || '',
125:                 asignaturas: currentProfile?.asignaturas || [],
126:                 perfiles: (perfiles || []).map((p: Record<string, unknown>): UserProfile => ({
127:                     userId: p.user_id as string,
128:                     nombreDocente: p.nombre_docente as string || p.nombre as string || '',
129:                     bio: p.bio as string || '',
130:                     avatarUrl: p.avatar_url as string || '',
131:                     avatarColor: p.avatar_color as string || '',
132:                     asignatura: Array.isArray(p.asignaturas) ? p.asignaturas[0] : (p.asignatura as string || ''),
133:                     institucion: (p.instituto || p.institucion) as string || '',
134:                     lastSeen: p.last_seen as string,
135:                     currentModule: p.current_module as string,
136:                     totalCorazones: p.total_corazones as number || 0
137:                 })),
138:                 cursos: (cursos || []).map((c: Record<string, unknown>): Curso => ({
139:                     id: c.id as number,
140:                     nombre: c.nombre as string,
141:                     asignatura: c.asignatura as string,
142:                     grado: c.grado as string,
143:                     seccion: c.seccion as string,
144:                     periodo: c.periodo as string,
145:                     diasSemana: c.dias_semana as string[] || [],
146:                     color: c.color as string,
147:                     isTutorOficial: c.is_tutor_oficial as boolean,
148:                     userId: c.user_id as string,
149:                     grupoId: c.grupo_id as number,
150:                     sharedCourseId: (c.shared_course_id as string) || (c.grupo_id ? `group_${c.grupo_id}` : String(c.id)),
151:                     configuracionEvaluacion: c.configuracion_evaluacion as Record<string, unknown> || {},
152:                     createdAt: c.created_at as string
153:                 })),
154:                 estudiantes: (estudiantes || []).map((e: Record<string, unknown>): Estudiante => ({
155:                     id: e.id as number,
156:                     nombre: e.nombre as string,
157:                     apellido: e.apellido as string,
158:                     avatarColor: e.avatar_color as string,
159:                     cursoId: e.curso_id as number,
160:                     grupoId: e.grupo_id as number,
161:                     userId: e.docente_id as string,
162:                     sharedCourseId: (e.shared_course_id as string) || (e.grupo_id ? `group_${e.grupo_id}` : String(e.curso_id)),
163:                     nivel: e.nivel as 1 | 2 | 3 | 4,
164:                     puntaje: e.puntaje as number,
165:                     bc1: e.bc1 as BCScore || { nivel: 1, puntaje: 0 },
166:                     bc2: e.bc2 as BCScore || { nivel: 1, puntaje: 0 },
167:                     bc3: e.bc3 as BCScore || { nivel: 1, puntaje: 0 },
168:                     bc4: e.bc4 as BCScore || { nivel: 1, puntaje: 0 },
169:                     actividadesRecientes: e.actividades_recientes as number,
170:                     enRiesgo: e.en_riesgo as boolean,
171:                     numeroLista: e.numero_lista as number
172:                 })),
173:                 actividades: (actividades || []).map((a: Record<string, unknown>): Actividad => ({
174:                     id: a.id as number,
175:                     nombre: a.nombre as string,
176:                     cursoId: a.curso_id as number,
177:                     fecha: a.fecha as string,
178:                     periodo: a.periodo as string,
179:                     bcAsignados: (a.bc_asignados && (a.bc_asignados as BCKey[]).length > 0)
180:                         ? a.bc_asignados as BCKey[]
181:                         : ['BC1'] as BCKey[],
182:                     secuenciaId: a.secuencia_id as number,
183:                     isRec: a.is_rec as boolean,
184:                     userId: a.user_id as string,
185:                     asignatura: a.asignatura as string,
186:                     sharedCourseId: a.shared_course_id as string || (cursos?.find(cur => cur.id === a.curso_id)?.grupo_id ? `group_${cursos.find(cur => cur.id === a.curso_id)?.grupo_id}` : String(a.curso_id))
187:                 })),
188:                 calificaciones: (calificaciones || []).map((c: Record<string, unknown>): CalificacionActividad => ({
189:                     id: c.id as number,
190:                     cursoId: c.curso_id as number,
191:                     estudianteId: c.estudiante_id as number,
192:                     actividadId: c.actividad_id as number,
193:                     userId: c.user_id as string || '',
194:                     asignatura: c.asignatura as string || '',
195:                     periodo: c.periodo as string,
